country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
IDN,Indonesia,Tegineneng,WRI1001028,28.2,-5.6015,104.7988,Oil,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026165,,,,,,,1028.615812
IDN,Indonesia,Tello,WRI1001031,50.092,-5.14,119.4221,Oil,,,,,PLN-South&South East Sulawesi Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026174,,,,,,,1827.142669
IDN,Indonesia,Tenau Kupang,WRI1001033,34.73,-10.1667,123.5833,Oil,,,,,PLN - East Nusa Tenggara Regional Unit/NTT,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026086,,,,,,,1266.802381
IDN,Indonesia,Timo / Mrica,WRI1001035,12,-6.9485,110.4069,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026168,,,,,,,39.86672492
IDN,Indonesia,Tulungagung - Brantas,WRI1001038,36,-8.0657,111.9025,Hydro,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026172,,,,,,,119.6001748
IDN,Indonesia,Ubrug/saguling,WRI1001039,18.36,-6.9039,107.6186,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,60.99608912
IDN,Indonesia,Ulubelu 1 & 2,WRI1001040,110,-5.3096,104.5733,Geothermal,,,,,PT. PLN,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1011547,,,,,,,822.7868852
IDN,Indonesia,Wayang Windu,WRI1001044,227,-7.1966,107.6258,Geothermal,,,,,PT. Star Energy,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1010414,,,,,,,1697.932936
IDN,Indonesia,Wlingi - Brantas,WRI1001045,54,-8.0776,112.3311,Hydro,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026178,,,,,,,179.4002621
IDN,Indonesia,Wonorejo - Pamekasan,WRI1001046,6.3,-8.1136,112.2869,Hydro,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1055424,,,,,,,20.93003058
MYS,Malaysia,Batang Al,WRI1000280,103,1.1472,111.8743,Hydro,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1028018,,,,,,,693.2951232
MYS,Malaysia,Bersia,WRI1000233,48,5.4297,101.2092,Hydro,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1031175,,,,,,,323.0889894
MYS,Malaysia,Bukit Palong Solar Power Plant,WRI1026640,3,2.5823,101.8313,Solar,,,,,Gaya Dunia Sdn Bhd,Cypark Resources Board,http://innogenetic.com/cypark/index.php/2014-07-02-17-02-16/2014-07-02-17-02-52/renewable-energy,WRI,,,,,,,,8.901960784
MYS,Malaysia,Connought Bridge,WRI1000246,828,3.0433,101.4696,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,,,,,,,,4586.362191
MYS,Malaysia,GB3,WRI1000244,640,4.3923,100.5897,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,,,,,,,,3545.014254
MYS,Malaysia,Gebeng Solar Power Plant,WRI1026641,10,3.9924,103.3682,Solar,,,,,Petronas,Metta Energy,http://www.mettaenergy.com.my/projects/view/10mw-petronas-solar-plant-gebeng,WRI,1106006,,,,,,,29.67320261
MYS,Malaysia,Gelugor,WRI1000231,330,5.3803,100.3147,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1047801,,,,,,,1827.897974
MYS,Malaysia,Gemas Solar Power Plant,WRI1026642,10.2,2.5956,102.6216,Solar,,,,,Yingli Solar,Yingli Solar,http://d9no22y7yqre8.cloudfront.net/assets/uploads/projects/downloads/AseanCaseStudy_Malaysia_Solarfarm_10MW%20Amcorp%20Gemas_v4.pdf,WRI,1097699,,,,,,,30.26666667
