longitude,latatitude,Name,No,Jenis.Industri,Group Description,Kab.Kota,Provinsi,query,distance_from_jakarta_km
106.7829251,-6.1109523,PT. PJB Unit Pembangkitan Muara Karang,322,PLTGU,Power & Energy,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",12.91008628
106.9035424,-6.108638,PT. Pertamina (Persero) Marketing Operation Region III Depot LPG Tj. Priok,305,Migas Distribusi,Power & Energy,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",12.85915507
106.9391782,-6.1481685,PT. Komatsu Indonesia,319,Otomotif,Capital goods & automobile components,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",12.35965826
106.935975,-6.14458,PT. Kawasan Berikat Nusantara (Persero),299,Kawasan Industri,"Cement, Steel & heavy industry",Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",12.29199767
106.9529789,-6.1876567,PT. Kangar Konsolidated Industries,295,Kemasan Botol Kaca,"Petroleum, Chemicals & Plastics",Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",12.1136494
106.752388,-6.156705,PT. International Chemical Industry (Interkalin) - Jakarta,252,Baterai,Capital goods & automobile components,Kota Jakarta Barat,DKI Jakarta,"Kota Jakarta Barat, DKI Jakarta, Indonesia",11.83216189
106.940814,-6.1630549,"PT. Indofood CBP Sukses Makmur, Tbk - Divisi Noodle Jakarta",304,Makanan dan Minuman,Food & Beverage,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",11.70173711
106.8672119,-6.1101835,PT. Indonesia Power Unit Pembangkitan dan Jasa Pembangkitan Priok,321,PLTGU,Power & Energy,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",11.23154434
106.8671371,-6.1141739,PT. Salim Ivomas Pratama - Jakarta Plant Tanjung Priok,309,Minyak Goreng,Food & Beverage,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",10.79610788
106.8601936,-6.304042,PT. Merck Indonesia,268,Farmasi,"Pharmacy, Cosmetics, Health",Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",10.72861438
106.9394296,-6.1852853,PT. KMI Wire & Cable Tbk,274,Kabel,Capital goods & automobile components,Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",10.70799185
106.7919011,-6.1300567,PT. Salim Ivomas Pratama - Jakarta Plant Jembatan Tiga,308,Minyak Goreng,Food & Beverage,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",10.58700801
106.8575683,-6.302227,PT. Sandoz Indonesia,269,Farmasi,"Pharmacy, Cosmetics, Health",Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",10.48828571
106.929707,-6.1672116,PT. SKF Indonesia,282,Otomotif,Capital goods & automobile components,Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",10.39423273
106.8331102,-6.3001592,PT. Pertamina Hulu Energi OSES,251,Migas EP,Power & Energy,Kab. Kepulauan Seribu,DKI Jakarta,"Kab. Kepulauan Seribu, DKI Jakarta, Indonesia",10.26756285
106.936315,-6.1942301,PT. Suzuki Indomobil Motor - Plant Cakung,283,Otomotif,Capital goods & automobile components,Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",10.16888574
106.8193445,-6.1215327,"PT. Asahimas Flat Glass, Tbk. Ancol Plant",298,Kaca,Glass,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",10.13590926
106.80946,-6.291664,PT. Elders Indonesia,531,Rumah Potong Hewan,Agro-based industry,Kab. Bogor,Jawa Barat,"Kab. Bogor, Jawa Barat, Indonesia",10.05767532
106.9310972,-6.1837654,PT. United Tractors Timur,284,Otomotif,Capital goods & automobile components,Kota Jakarta,DKI Jakarta,"Kota Jakarta, DKI Jakarta, Indonesia",9.862732388
106.8936739,-6.1351018,PT. Pertamina (Persero) Marketing Operation Region III TBBM Jakarta Group - Plumpang,306,Migas Distribusi,Power & Energy,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",9.774911246
106.8178901,-6.1260541,PT. Wirontono Baru,320,Pengolahan Ikan,Agro-based industry,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",9.704448302
106.9176016,-6.1622262,PT. Astra Honda Motor Plant 2 Pegangsaan,312,Otomotif,Capital goods & automobile components,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",9.504557463
106.8824625,-6.1321309,PT. Astra Daihatsu Motor Assy Plant,318,Otomotif,Capital goods & automobile components,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",9.456102546
106.8546259,-6.1243215,PT. Diamond Cold Storage,303,Makanan dan Minuman,Food & Beverage,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",9.452971116
106.8900042,-6.1362992,PT. Inkoasku,301,Komponen Otomotif,Capital goods & automobile components,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",9.445827969
106.8863047,-6.1349119,PT. Gaya Motor,314,Otomotif,Capital goods & automobile components,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",9.374559168
106.9226779,-6.174811,PT. Kramayudha Ratu Motor,286,Otomotif,Capital goods & automobile components,Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",9.330146034
106.927936,-6.19288,PT. Yamaha Indonesia Motor Manufacturing - Pulogadung Plant,285,Otomotif,Capital goods & automobile components,Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",9.282049351
106.8220227,-6.1287476,PT. Nipsea Paint & Chemicals,824,Cat,"Petroleum, Chemicals & Plastics",Kab. Gresik,Jawa Timur,"Kab. Gresik, Jawa Timur, Indonesia",9.28163713
106.9146608,-6.1635767,PT. Astra Otoparts - Divisi Nusametal,300,Komponen Otomotif,Capital goods & automobile components,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",9.14988359
106.9178003,-6.1693727,PT. Gemala Kempa Daya,315,Otomotif,Capital goods & automobile components,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",9.114656175
106.8857592,-6.1388057,PT. Denso Indonesia - Jakarta Plant,313,Otomotif,Capital goods & automobile components,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",8.966760744
106.9216138,-6.1832075,"PT. Indonesian Acids Industry, Ltd.",275,Kimia,"Petroleum, Chemicals & Plastics",Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",8.880507718
106.9208265,-6.1862924,PT. The Master Steel Manufactory,288,Peleburan Logam,Metal & non-metallic minerals,Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",8.693023844
106.8172385,-6.1361881,PT. Barco,311,Minyak Goreng,Food & Beverage,Kota Jakarta Utara,DKI Jakarta,"Kota Jakarta Utara, DKI Jakarta, Indonesia",8.667345387
106.9166514,-6.1874151,PT. Soho Industri Farmasi (Soho Group),270,Farmasi,"Pharmacy, Cosmetics, Health",Kota Jakarta Timur,DKI Jakarta,"Kota Jakarta Timur, DKI Jakarta, Indonesia",8.214552681
