Reference/ PlantID,lon,lat,Nama Perusahaan,Kab.Kota,Provinsi,distance_from_jakarta_km,Jenis Industri,General Industri Group,Capacity,Unit,Generation (MWh),Fuel,Consumption,Product/Production,Amount,Cross-Check Industry,Note,Source
3020474,106.0012,-5.96576,Banten Terephthalate Derivatives Complex,,,,,Chemical Processing (CPI),,,,,,,,,Mitsubishi Chemical Holdings Corporation,https://www.industrialinfo.com/
3182350,110.1806,-7.3174,Temanggung Formaldehyde & Adhesives,,,,,Chemical Processing (CPI),,,,,,,,,PT Gelora Citra Kimia Abadi,https://www.industrialinfo.com/
3182349,104.9138,-2.90736,Palembang Formaldehyde & Adhesives,,,,,Chemical Processing (CPI),,,,,,,,,PT Gelora Citra Kimia Abadi,https://www.industrialinfo.com/
3182348,114.6668,-3.07147,Banjarmasin Formaldehyde & Adhesives,,,,,Chemical Processing (CPI),,,,,,,,,PT Gelora Citra Kimia Abadi,https://www.industrialinfo.com/
1035673,107.3523,-6.33153,Karawang Purified Terephthalic Acid (PTA) Complex,,,,,Chemical Processing (CPI),,,,,,,,,PT Asia Pacific Fibers Tbk,https://www.industrialinfo.com/
3032447,98.6756,3.585242,Medan Sinar Oleochemicals,,,,,Chemical Processing (CPI),,,,,,,,,Golden Agri-Resources Limited,https://www.industrialinfo.com/
3020824,106.0004,-5.97835,Cilegon Lotte Petrochemical Complex,,,,,Chemical Processing (CPI),,,,,,,,,Lotte Chemical Corporation,https://www.industrialinfo.com/
3327649,106.7238,-6.15383,Cengkareng Pigment Dispersions,,,,,Chemical Processing (CPI),,,,,,,,,BASF SE,https://www.industrialinfo.com/
3020638,106.0782,-5.89461,Cilegon EO/EG Complex,,,,,Chemical Processing (CPI),,,,,,,,,PT Polychem Indonesia Tbk,https://www.industrialinfo.com/
3086992,106.3487,-6.20659,Serang Plasticizers,,,,,Chemical Processing (CPI),,,,,,,,,PT Sari Sarana Kimia Group,https://www.industrialinfo.com/
3084154,112.6462,-7.14419,Gresik Oxo Alcohol,,,,,Chemical Processing (CPI),,,,,,,,,PT Petro Oxo Nusantara,https://www.industrialinfo.com/
3020549,105.9994,-5.95824,Cilegon Chemicals,,,,,Chemical Processing (CPI),,,,,,,,,Chemstation Asia,https://www.industrialinfo.com/
3092306,106.1503,-6.11994,Serang Alkylbenzene,,,,,Chemical Processing (CPI),,,,,,,,,PT Unggul Indah Cahaya Tbk,https://www.industrialinfo.com/
3087224,98.6672,3.672087,Medan Oleochemicals,,,,,Chemical Processing (CPI),,,,,,,,,Musim Mas Holdings Pte Ltd,https://www.industrialinfo.com/
3084582,106.0709,-5.88404,Serang Styrene Monomer,,,,,Chemical Processing (CPI),,,,,,,,,PT Barito Pacific Tbk,https://www.industrialinfo.com/
3077657,106.8768,-6.12371,Bekasi Lubricants Blending,,,,,Chemical Processing (CPI),,,,,,,,,Royal Dutch Shell Plc,https://www.industrialinfo.com/
3018042,110.8852,-7.528,Surakarta Ethanol Integrated Complex,,,,,Chemical Processing (CPI),,,,,,,,,PT Indo Acidatama Tbk,https://www.industrialinfo.com/
3177297,110.4669,-6.95158,Semarang Chemical Complex,,,,,Chemical Processing (CPI),,,,,,,,,PT Intan Wijaya International Tbk,https://www.industrialinfo.com/
3090659,106.5584,-6.36912,Bogor Chemicals,,,,,Chemical Processing (CPI),,,,,,,,,PT Mega Chemical Pratama,https://www.industrialinfo.com/
3131811,106.8081,-6.27384,Jakarta Selatan Paints,,,,,Chemical Processing (CPI),,,,,,,,,TOA Paint Thailand Company Limited,https://www.industrialinfo.com/
3148923,111.9336,-7.60128,Pasuruan Sorbitol,,,,,Chemical Processing (CPI),,,,,,,,,Cargill Incorporated,https://www.industrialinfo.com/
3327657,106.8653,-6.37423,Cimanggis Care Chemicals,,,,,Chemical Processing (CPI),,,,,,,,,BASF SE,https://www.industrialinfo.com/
3327654,107.1406,-6.27983,Cikarang Pigments Dispersion,,,,,Chemical Processing (CPI),,,,,,,,,BASF SE,https://www.industrialinfo.com/
3104238,106.1508,-6.11938,Serang Synthetic Resin,,,,,Chemical Processing (CPI),,,,,,,,,PT Tunas Sumber Idea Kreasi Kimia,https://www.industrialinfo.com/
3031676,98.69373,3.783667,Medan Oleochemicals,,,29-Jun-18,,Chemical Processing (CPI),,,,,,,,,PT Ecogreen Oleochemicals,https://www.industrialinfo.com/
3095650,106.0953,-5.91006,Serang Ethyl Acetate,,,22-Dec-14,,Chemical Processing (CPI),,,,,,,,,Showa Denko KK,https://www.industrialinfo.com/
3014861,106.04,-6.017,Cilegon Chemical Complex,,,########,,Chemical Processing (CPI),,,,,,,,,PT Arrtu Mega Energie,https://www.industrialinfo.com/
1068972,106.8,-6.167,Jakarta Flavor Enhancers,,,10-Oct-06,,Chemical Processing (CPI),,,,,,,,,Kyowa Hakko Kirin Company Limited,https://www.industrialinfo.com/
3222560,104.0316,-3.43087,Muaraenim Paper Mill,,,,Semichemical Pulps Of Other Fibrous Cellulosic Material (Air Dry Weight),"Pulp, Paper & Wood",490000,T/yr,,,,,,,Marubeni Corporation,https://www.industrialinfo.com/
3355033,112.7562,-7.39138,Sidoarjo Sawmill,,,,,"Pulp, Paper & Wood",,,,,,,,,Integra Group Indonesia,https://www.industrialinfo.com/
3393123,111.6165,-2.68609,Kotawaringin Sawmill,,,,,"Pulp, Paper & Wood",,,,,,,,,Korindo Group,https://www.industrialinfo.com/
3392566,106.3415,-6.19704,Cikande Nappy Plant,,,,,"Pulp, Paper & Wood",,,,,,,,,DSG International (Thailand) Public Company Limited,https://www.industrialinfo.com/
3393574,110.9494,-6.7962,Kudus Paper Mill,,,,"Paper And Paperboard, Nesoi, Embossed Or Perforated, In Rolls Or Sheets","Pulp, Paper & Wood",94500,T/yr,,,,,,,PT Enggal Subur Kertas,https://www.industrialinfo.com/
